Indicator,Source,2016,2017,2018
"Employee contribution to total premium cost for employer-sponsored health insurance plans as a share of state median income","Medical Expenditure Panel Survey Insurance Component (MEPS-IC)",6.7%,7.1%,6.8%
"Employee deductible for employer-sponsored health insurance plans","Medical Expenditure Panel Survey Insurance Component (MEPS-IC)","$2,439","$2,780","$2,767"
"Employee deductible for employer-sponsored health insurance plans as a share of state median income","Medical Expenditure Panel Survey Insurance Component (MEPS-IC)",4.3%,4.6%,4.5%
"Employee total potential out-of-pocket medical costs (premium contribution + deductible)","Medical Expenditure Panel Survey Insurance Component (MEPS-IC)","$6,284","$7,016","$6,894"
"Employee total potential out-of-pocket medical costs (premium contribution + deductible) as a share of state median income","Medical Expenditure Panel Survey Insurance Component (MEPS-IC)",11%,11.7%,11.3%
"Children ages 19–35 months who received all recommended doses of seven key vaccines","National Immunization Survey (NIS)",65%,69%,72%
"Children ages 10–17 who are overweight or obese (BMI >= 85th percentile)","National Survey of Children’s Health (NSCH)",31%,30%,33%
"Children ages 0–17 with all components of a medical home","National Survey of Children’s Health (NSCH)",42%,44%,45%
"Children with age-appropriate medical and dental preventive care visits in the past year","National Survey of Children’s Health (NSCH)",-,-,52%
"Children ages 3–17 who received treatment or counseling from a mental health professional when needed during the past 12 months","National Survey of Children’s Health (NSCH)",84%,76%,70%
"Adults age 18 and older with any mental illness reporting unmet need","National Survey on Drug Use and Health (NSDUH), via State of Mental Health in America",20%,22%,-
"Adults age and older with any mental illness who did not receive treatment","National Survey on Drug Use and Health (NSDUH), via State of Mental Health in America",62%,65%,-
"Long-stay nursing home residents with an antipsychotic medication","Minimum Dataset (MDS), via CMS Nursing Home Compare",12%,11%,-
"High-risk nursing home residents with pressure sores","Minimum Dataset (MDS), via CMS Nursing Home Compare",5.7%,5.6%,-
"Deaths from suicide, alcohol, and drug use per 100,000 population","CDC National Vital Statistics System (NVSS): WONDER",-,-,-
"State-based public health spending per resident","Trust for America’s Health (TFAH)",$62,$66,-
"Primary care spending as share of total health care spending among adults ages 18–64 with employer-sponsored insurance","Truven MarketScan",5.02%,-,-
"Primary care spending per enroleee among adults ages 18–64 with employer-sponsored insurance","Truven MarketScan",$371,-,-
"Primary care spending as share of total health care spending among Medicare beneficiaries age 65 and older","CMS Limited Data Set (LDS)",5.1%,-,-
"Primary care spending per Medicare beneficiary, age 65 and older","CMS Limited Data Set (LDS)",$720,-,-
